ds,y
2015-07-01,3.0
2015-07-02,0.0
2015-07-03,1.0
2015-07-04,1.0
2015-07-05,0.0
2015-07-06,1.0
2015-07-07,3.0
2015-07-08,0.0
2015-07-09,0.0
2015-07-10,0.0
2015-07-11,1.0
2015-07-12,0.0
2015-07-13,2.0
2015-07-14,0.0
2015-07-15,0.0
2015-07-16,1.0
2015-07-17,0.0
2015-07-18,1.0
2015-07-19,0.0
2015-07-20,1.0
2015-07-21,1.0
2015-07-22,0.0
2015-07-23,0.0
2015-07-24,0.0
2015-07-25,0.0
2015-07-26,0.0
2015-07-27,1.0
2015-07-28,0.0
2015-07-29,0.0
2015-07-30,0.0
2015-07-31,0.0
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,0.0
2015-08-08,0.0
2015-08-09,0.0
2015-08-10,0.0
2015-08-11,1.0
2015-08-12,0.0
2015-08-13,0.0
2015-08-14,0.0
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,0.0
2015-08-18,0.0
2015-08-19,0.0
2015-08-20,0.0
2015-08-21,0.0
2015-08-22,0.0
2015-08-23,1.0
2015-08-24,0.0
2015-08-25,0.0
2015-08-26,1.0
2015-08-27,0.0
2015-08-28,0.0
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,0.0
2015-09-01,0.0
2015-09-02,1.0
2015-09-03,0.0
2015-09-04,0.0
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,0.0
2015-09-10,2.0
2015-09-11,0.0
2015-09-12,0.0
2015-09-13,0.0
2015-09-14,0.0
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,0.0
2015-09-18,1.0
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,0.0
2015-09-22,0.0
2015-09-23,0.0
2015-09-24,0.0
2015-09-25,0.0
2015-09-26,0.0
2015-09-27,0.0
2015-09-28,0.0
2015-09-29,0.0
2015-09-30,0.0
2015-10-01,0.0
2015-10-02,0.0
2015-10-03,0.0
2015-10-04,0.0
2015-10-05,0.0
2015-10-06,0.0
2015-10-07,0.0
2015-10-08,0.0
2015-10-09,0.0
2015-10-10,0.0
2015-10-11,0.0
2015-10-12,0.0
2015-10-13,0.0
2015-10-14,0.0
2015-10-15,0.0
2015-10-16,0.0
2015-10-17,2.0
2015-10-18,0.0
2015-10-19,1.0
2015-10-20,0.0
2015-10-21,0.0
2015-10-22,0.0
2015-10-23,0.0
2015-10-24,0.0
2015-10-25,0.0
2015-10-26,0.0
2015-10-27,0.0
2015-10-28,0.0
2015-10-29,1.0
2015-10-30,0.0
2015-10-31,1.0
2015-11-01,1.0
2015-11-02,0.0
2015-11-03,1.0
2015-11-04,1.0
2015-11-05,0.0
2015-11-06,1.0
2015-11-07,0.0
2015-11-08,0.0
2015-11-09,0.0
2015-11-10,1.0
2015-11-11,0.0
2015-11-12,2.0
2015-11-13,0.0
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,0.0
2015-11-17,0.0
2015-11-18,0.0
2015-11-19,0.0
2015-11-20,1.0
2015-11-21,0.0
2015-11-22,0.0
2015-11-23,0.0
2015-11-24,0.0
2015-11-25,0.0
2015-11-26,0.0
2015-11-27,0.0
2015-11-28,0.0
2015-11-29,0.0
2015-11-30,0.0
2015-12-01,0.0
2015-12-02,1.0
2015-12-03,0.0
2015-12-04,0.0
2015-12-05,0.0
2015-12-06,0.0
2015-12-07,0.0
2015-12-08,0.0
2015-12-09,0.0
2015-12-10,0.0
2015-12-11,0.0
2015-12-12,1.0
2015-12-13,0.0
2015-12-14,1.0
2015-12-15,0.0
2015-12-16,1.0
2015-12-17,0.0
2015-12-18,0.0
2015-12-19,0.0
2015-12-20,0.0
2015-12-21,0.0
2015-12-22,0.0
2015-12-23,0.0
2015-12-24,1.0
2015-12-25,0.0
2015-12-26,0.0
2015-12-27,0.0
2015-12-28,0.0
2015-12-29,0.0
2015-12-30,0.0
2015-12-31,0.0
2016-01-01,0.0
2016-01-02,0.0
2016-01-03,0.0
2016-01-04,2.0
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,2.0
2016-01-08,0.0
2016-01-09,0.0
2016-01-10,1.0
2016-01-11,0.0
2016-01-12,0.0
2016-01-13,1.0
2016-01-14,1.0
2016-01-15,0.0
2016-01-16,0.0
2016-01-17,0.0
2016-01-18,0.0
2016-01-19,0.0
2016-01-20,0.0
2016-01-21,1.0
2016-01-22,1.0
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,0.0
2016-01-26,0.0
2016-01-27,0.0
2016-01-28,0.0
2016-01-29,0.0
2016-01-30,0.0
2016-01-31,2.0
2016-02-01,0.0
2016-02-02,2.0
2016-02-03,1.0
2016-02-04,1.0
2016-02-05,0.0
2016-02-06,0.0
2016-02-07,0.0
2016-02-08,0.0
2016-02-09,0.0
2016-02-10,0.0
2016-02-11,0.0
2016-02-12,0.0
2016-02-13,0.0
2016-02-14,1.0
2016-02-15,0.0
2016-02-16,2.0
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,2.0
2016-02-20,7.0
2016-02-21,0.0
2016-02-22,3.0
2016-02-23,1.0
2016-02-24,2.0
2016-02-25,2.0
2016-02-26,2.0
2016-02-27,2.0
2016-02-28,1.0
2016-02-29,2.0
2016-03-01,2.0
2016-03-02,0.0
2016-03-03,4.0
2016-03-04,4.0
2016-03-05,0.0
2016-03-06,0.0
2016-03-07,3.0
2016-03-08,6.0
2016-03-09,6.0
2016-03-10,9.0
2016-03-11,5.0
2016-03-12,10.0
2016-03-13,31.0
2016-03-14,32.0
2016-03-15,22.0
2016-03-16,26.0
2016-03-17,18.0
2016-03-18,26.0
2016-03-19,10.0
2016-03-20,15.0
2016-03-21,16.0
2016-03-22,18.0
2016-03-23,15.0
2016-03-24,19.0
2016-03-25,13.0
2016-03-26,14.0
2016-03-27,11.0
2016-03-28,174.0
2016-03-29,87.0
2016-03-30,47.0
2016-03-31,64.0
2016-04-01,47.0
2016-04-02,46.0
2016-04-03,67.0
2016-04-04,128.0
2016-04-05,191.0
2016-04-06,119.0
2016-04-07,731.0
2016-04-08,3406.0
2016-04-09,2882.0
2016-04-10,2655.0
2016-04-11,2422.0
2016-04-12,3429.0
2016-04-13,1641.0
2016-04-14,1549.0
2016-04-15,1715.0
2016-04-16,1466.0
2016-04-17,1787.0
2016-04-18,1625.0
2016-04-19,2971.0
2016-04-20,1712.0
2016-04-21,1346.0
2016-04-22,1645.0
2016-04-23,1450.0
2016-04-24,1940.0
2016-04-25,2034.0
2016-04-26,2782.0
2016-04-27,1596.0
2016-04-28,1532.0
2016-04-29,1773.0
2016-04-30,1790.0
2016-05-01,3671.0
2016-05-02,7214.0
2016-05-03,3793.0
2016-05-04,1678.0
2016-05-05,1720.0
2016-05-06,1727.0
2016-05-07,1585.0
2016-05-08,1883.0
2016-05-09,1824.0
2016-05-10,2798.0
2016-05-11,1757.0
2016-05-12,1784.0
2016-05-13,1693.0
2016-05-14,1537.0
2016-05-15,1870.0
2016-05-16,1802.0
2016-05-17,2820.0
