ds,y
2015-07-01,130.0
2015-07-02,221.0
2015-07-03,285.0
2015-07-04,175.0
2015-07-05,132.0
2015-07-06,237.0
2015-07-07,335.0
2015-07-08,351.0
2015-07-09,404.0
2015-07-10,326.0
2015-07-11,196.0
2015-07-12,113.0
2015-07-13,237.0
2015-07-14,225.0
2015-07-15,201.0
2015-07-16,139.0
2015-07-17,260.0
2015-07-18,261.0
2015-07-19,106.0
2015-07-20,123.0
2015-07-21,164.0
2015-07-22,175.0
2015-07-23,330.0
2015-07-24,227.0
2015-07-25,126.0
2015-07-26,188.0
2015-07-27,193.0
2015-07-28,228.0
2015-07-29,270.0
2015-07-30,242.0
2015-07-31,186.0
2015-08-01,128.0
2015-08-02,77.0
2015-08-03,83.0
2015-08-04,218.0
2015-08-05,246.0
2015-08-06,234.0
2015-08-07,190.0
2015-08-08,124.0
2015-08-09,104.0
2015-08-10,167.0
2015-08-11,143.0
2015-08-12,237.0
2015-08-13,302.0
2015-08-14,159.0
2015-08-15,125.0
2015-08-16,94.0
2015-08-17,136.0
2015-08-18,132.0
2015-08-19,126.0
2015-08-20,163.0
2015-08-21,138.0
2015-08-22,107.0
2015-08-23,85.0
2015-08-24,131.0
2015-08-25,166.0
2015-08-26,230.0
2015-08-27,255.0
2015-08-28,150.0
2015-08-29,113.0
2015-08-30,103.0
2015-08-31,172.0
2015-09-01,690.0
2015-09-02,526.0
2015-09-03,237.0
2015-09-04,177.0
2015-09-05,153.0
2015-09-06,165.0
2015-09-07,531.0
2015-09-08,618.0
2015-09-09,688.0
2015-09-10,409.0
2015-09-11,208.0
2015-09-12,576.0
2015-09-13,308.0
2015-09-14,295.0
2015-09-15,456.0
2015-09-16,268.0
2015-09-17,154.0
2015-09-18,223.0
2015-09-19,137.0
2015-09-20,157.0
2015-09-21,509.0
2015-09-22,422.0
2015-09-23,276.0
2015-09-24,314.0
2015-09-25,285.0
2015-09-26,162.0
2015-09-27,145.0
2015-09-28,231.0
2015-09-29,437.0
2015-09-30,361.0
2015-10-01,183.0
2015-10-02,119.0
2015-10-03,153.0
2015-10-04,276.0
2015-10-05,318.0
2015-10-06,334.0
2015-10-07,248.0
2015-10-08,242.0
2015-10-09,272.0
2015-10-10,272.0
2015-10-11,270.0
2015-10-12,495.0
2015-10-13,432.0
2015-10-14,237.0
2015-10-15,448.0
2015-10-16,408.0
2015-10-17,159.0
2015-10-18,117.0
2015-10-19,220.0
2015-10-20,300.0
2015-10-21,191.0
2015-10-22,149.0
2015-10-23,147.0
2015-10-24,111.0
2015-10-25,106.0
2015-10-26,291.0
2015-10-27,468.0
2015-10-28,250.0
2015-10-29,340.0
2015-10-30,378.0
2015-10-31,207.0
2015-11-01,182.0
2015-11-02,129.0
2015-11-03,301.0
2015-11-04,451.0
2015-11-05,482.0
2015-11-06,474.0
2015-11-07,1123.0
2015-11-08,291.0
2015-11-09,152.0
2015-11-10,619.0
2015-11-11,909.0
2015-11-12,340.0
2015-11-13,374.0
2015-11-14,260.0
2015-11-15,111.0
2015-11-16,176.0
2015-11-17,393.0
2015-11-18,492.0
2015-11-19,483.0
2015-11-20,404.0
2015-11-21,727.0
2015-11-22,404.0
2015-11-23,214.0
2015-11-24,407.0
2015-11-25,423.0
2015-11-26,362.0
2015-11-27,445.0
2015-11-28,348.0
2015-11-29,136.0
2015-11-30,121.0
2015-12-01,321.0
2015-12-02,282.0
2015-12-03,199.0
2015-12-04,149.0
2015-12-05,143.0
2015-12-06,214.0
2015-12-07,138.0
2015-12-08,133.0
2015-12-09,328.0
2015-12-10,475.0
2015-12-11,315.0
2015-12-12,381.0
2015-12-13,162.0
2015-12-14,129.0
2015-12-15,265.0
2015-12-16,490.0
2015-12-17,356.0
2015-12-18,123.0
