ds,y
2015-07-01,50.0
2015-07-02,81.0
2015-07-03,46.0
2015-07-04,49.0
2015-07-05,78.0
2015-07-06,37.0
2015-07-07,66.0
2015-07-08,44.0
2015-07-09,45.0
2015-07-10,56.0
2015-07-11,23.0
2015-07-12,31.0
2015-07-13,33.0
2015-07-14,59.0
2015-07-15,37.0
2015-07-16,32.0
2015-07-17,28.0
2015-07-18,20.0
2015-07-19,38.0
2015-07-20,23.0
2015-07-21,18.0
2015-07-22,21.0
2015-07-23,14.0
2015-07-24,26.0
2015-07-25,18.0
2015-07-26,27.0
2015-07-27,53.0
2015-07-28,37.0
2015-07-29,20.0
2015-07-30,22.0
2015-07-31,18.0
2015-08-01,21.0
2015-08-02,22.0
2015-08-03,12.0
2015-08-04,21.0
2015-08-05,23.0
2015-08-06,33.0
2015-08-07,20.0
2015-08-08,18.0
2015-08-09,62.0
2015-08-10,32.0
2015-08-11,28.0
2015-08-12,44.0
2015-08-13,28.0
2015-08-14,28.0
2015-08-15,36.0
2015-08-16,47.0
2015-08-17,32.0
2015-08-18,44.0
2015-08-19,41.0
2015-08-20,53.0
2015-08-21,65.0
2015-08-22,34.0
2015-08-23,29.0
2015-08-24,45.0
2015-08-25,41.0
2015-08-26,64.0
2015-08-27,61.0
2015-08-28,35.0
2015-08-29,27.0
2015-08-30,35.0
2015-08-31,60.0
2015-09-01,31.0
2015-09-02,39.0
2015-09-03,34.0
2015-09-04,44.0
2015-09-05,29.0
2015-09-06,29.0
2015-09-07,17.0
2015-09-08,23.0
2015-09-09,28.0
2015-09-10,50.0
2015-09-11,24.0
2015-09-12,32.0
2015-09-13,41.0
2015-09-14,18.0
2015-09-15,37.0
2015-09-16,59.0
2015-09-17,76.0
2015-09-18,59.0
2015-09-19,35.0
2015-09-20,69.0
2015-09-21,44.0
2015-09-22,47.0
2015-09-23,67.0
2015-09-24,85.0
2015-09-25,57.0
2015-09-26,44.0
2015-09-27,52.0
2015-09-28,58.0
2015-09-29,66.0
2015-09-30,57.0
2015-10-01,63.0
2015-10-02,70.0
2015-10-03,48.0
2015-10-04,52.0
2015-10-05,43.0
2015-10-06,65.0
2015-10-07,52.0
2015-10-08,32.0
2015-10-09,46.0
2015-10-10,41.0
2015-10-11,59.0
2015-10-12,44.0
2015-10-13,41.0
2015-10-14,58.0
2015-10-15,51.0
2015-10-16,44.0
2015-10-17,37.0
2015-10-18,38.0
2015-10-19,55.0
2015-10-20,34.0
2015-10-21,39.0
2015-10-22,38.0
2015-10-23,63.0
2015-10-24,47.0
2015-10-25,29.0
2015-10-26,28.0
2015-10-27,32.0
2015-10-28,33.0
2015-10-29,39.0
2015-10-30,61.0
2015-10-31,43.0
2015-11-01,35.0
2015-11-02,61.0
2015-11-03,48.0
2015-11-04,63.0
2015-11-05,44.0
2015-11-06,67.0
2015-11-07,56.0
2015-11-08,56.0
2015-11-09,79.0
2015-11-10,44.0
2015-11-11,51.0
2015-11-12,65.0
2015-11-13,60.0
2015-11-14,37.0
2015-11-15,43.0
2015-11-16,40.0
2015-11-17,43.0
2015-11-18,49.0
2015-11-19,60.0
2015-11-20,53.0
2015-11-21,48.0
2015-11-22,55.0
2015-11-23,74.0
2015-11-24,67.0
2015-11-25,71.0
2015-11-26,55.0
2015-11-27,48.0
2015-11-28,60.0
2015-11-29,61.0
2015-11-30,66.0
2015-12-01,67.0
2015-12-02,88.0
2015-12-03,47.0
2015-12-04,69.0
2015-12-05,58.0
2015-12-06,57.0
2015-12-07,61.0
2015-12-08,56.0
2015-12-09,56.0
2015-12-10,80.0
2015-12-11,61.0
2015-12-12,77.0
2015-12-13,58.0
2015-12-14,77.0
2015-12-15,66.0
2015-12-16,79.0
2015-12-17,68.0
2015-12-18,71.0
2015-12-19,88.0
2015-12-20,71.0
2015-12-21,83.0
2015-12-22,73.0
2015-12-23,60.0
2015-12-24,42.0
2015-12-25,46.0
2015-12-26,58.0
2015-12-27,73.0
2015-12-28,88.0
2015-12-29,61.0
2015-12-30,61.0
2015-12-31,79.0
2016-01-01,88.0
2016-01-02,106.0
2016-01-03,62.0
2016-01-04,145.0
2016-01-05,72.0
2016-01-06,134.0
2016-01-07,73.0
2016-01-08,139.0
2016-01-09,229.0
2016-01-10,82.0
2016-01-11,145.0
2016-01-12,121.0
2016-01-13,75.0
2016-01-14,93.0
2016-01-15,98.0
2016-01-16,71.0
2016-01-17,79.0
2016-01-18,81.0
2016-01-19,352.0
2016-01-20,302.0
2016-01-21,284.0
2016-01-22,196.0
2016-01-23,162.0
2016-01-24,282.0
2016-01-25,99.0
2016-01-26,214.0
2016-01-27,264.0
2016-01-28,118.0
2016-01-29,167.0
2016-01-30,140.0
2016-01-31,154.0
2016-02-01,409.0
2016-02-02,302.0
2016-02-03,521.0
2016-02-04,296.0
2016-02-05,221.0
2016-02-06,167.0
2016-02-07,568.0
2016-02-08,543.0
2016-02-09,1152.0
2016-02-10,629.0
2016-02-11,859.0
2016-02-12,667.0
2016-02-13,1490.0
2016-02-14,4597.0
2016-02-15,1682.0
2016-02-16,397.0
2016-02-17,253.0
2016-02-18,183.0
2016-02-19,254.0
2016-02-20,148.0
2016-02-21,102.0
2016-02-22,182.0
2016-02-23,158.0
2016-02-24,114.0
2016-02-25,276.0
2016-02-26,160.0
2016-02-27,84.0
2016-02-28,196.0
2016-02-29,144.0
2016-03-01,130.0
2016-03-02,145.0
2016-03-03,140.0
2016-03-04,159.0
2016-03-05,156.0
2016-03-06,133.0
2016-03-07,102.0
2016-03-08,268.0
2016-03-09,107.0
2016-03-10,79.0
2016-03-11,72.0
2016-03-12,82.0
2016-03-13,91.0
2016-03-14,141.0
2016-03-15,235.0
2016-03-16,128.0
2016-03-17,163.0
2016-03-18,105.0
2016-03-19,86.0
2016-03-20,81.0
2016-03-21,98.0
2016-03-22,74.0
2016-03-23,80.0
2016-03-24,64.0
2016-03-25,93.0
2016-03-26,97.0
2016-03-27,125.0
2016-03-28,131.0
2016-03-29,93.0
2016-03-30,66.0
2016-03-31,111.0
2016-04-01,244.0
2016-04-02,680.0
2016-04-03,604.0
2016-04-04,252.0
2016-04-05,164.0
2016-04-06,166.0
2016-04-07,158.0
2016-04-08,102.0
2016-04-09,64.0
2016-04-10,83.0
2016-04-11,73.0
2016-04-12,63.0
2016-04-13,76.0
2016-04-14,94.0
2016-04-15,87.0
2016-04-16,63.0
2016-04-17,70.0
2016-04-18,82.0
2016-04-19,55.0
2016-04-20,65.0
2016-04-21,93.0
2016-04-22,87.0
2016-04-23,107.0
2016-04-24,79.0
2016-04-25,68.0
2016-04-26,114.0
2016-04-27,99.0
2016-04-28,151.0
2016-04-29,121.0
2016-04-30,99.0
2016-05-01,100.0
2016-05-02,88.0
2016-05-03,159.0
2016-05-04,148.0
2016-05-05,86.0
2016-05-06,79.0
2016-05-07,75.0
2016-05-08,116.0
2016-05-09,105.0
2016-05-10,120.0
2016-05-11,88.0
2016-05-12,84.0
2016-05-13,83.0
2016-05-14,88.0
2016-05-15,70.0
2016-05-16,100.0
2016-05-17,60.0
2016-05-18,89.0
2016-05-19,81.0
2016-05-20,107.0
2016-05-21,164.0
2016-05-22,166.0
2016-05-23,163.0
2016-05-24,186.0
2016-05-25,149.0
2016-05-26,128.0
2016-05-27,100.0
2016-05-28,94.0
2016-05-29,122.0
2016-05-30,102.0
2016-05-31,115.0
2016-06-01,201.0
2016-06-02,125.0
2016-06-03,108.0
2016-06-04,86.0
2016-06-05,85.0
2016-06-06,119.0
2016-06-07,114.0
2016-06-08,109.0
2016-06-09,58.0
2016-06-10,125.0
2016-06-11,103.0
2016-06-12,580.0
2016-06-13,106.0
2016-06-14,132.0
2016-06-15,64.0
2016-06-16,73.0
2016-06-17,85.0
2016-06-18,63.0
2016-06-19,83.0
2016-06-20,74.0
2016-06-21,60.0
2016-06-22,97.0
2016-06-23,97.0
2016-06-24,55.0
2016-06-25,62.0
2016-06-26,49.0
2016-06-27,42.0
2016-06-28,55.0
2016-06-29,54.0
2016-06-30,59.0
2016-07-01,51.0
2016-07-02,55.0
2016-07-03,41.0
2016-07-04,60.0
2016-07-05,67.0
2016-07-06,66.0
2016-07-07,138.0
2016-07-08,99.0
2016-07-09,44.0
2016-07-10,50.0
2016-07-11,61.0
2016-07-12,59.0
2016-07-13,81.0
2016-07-14,63.0
2016-07-15,66.0
2016-07-16,60.0
2016-07-17,96.0
2016-07-18,82.0
2016-07-19,72.0
2016-07-20,76.0
2016-07-21,70.0
2016-07-22,73.0
2016-07-23,71.0
2016-07-24,78.0
2016-07-25,100.0
2016-07-26,177.0
2016-07-27,155.0
2016-07-28,115.0
2016-07-29,175.0
2016-07-30,76.0
2016-07-31,56.0
2016-08-01,89.0
2016-08-02,90.0
2016-08-03,70.0
2016-08-04,71.0
2016-08-05,65.0
2016-08-06,94.0
2016-08-07,94.0
2016-08-08,164.0
2016-08-09,331.0
2016-08-10,101.0
2016-08-11,100.0
2016-08-12,87.0
2016-08-13,56.0
2016-08-14,72.0
2016-08-15,89.0
2016-08-16,59.0
2016-08-17,72.0
2016-08-18,54.0
2016-08-19,72.0
2016-08-20,37.0
2016-08-21,58.0
2016-08-22,81.0
2016-08-23,59.0
2016-08-24,86.0
2016-08-25,82.0
2016-08-26,491.0
2016-08-27,95.0
2016-08-28,75.0
2016-08-29,61.0
2016-08-30,59.0
2016-08-31,426.0
2016-09-01,61.0
2016-09-02,58.0
2016-09-03,80.0
2016-09-04,151.0
2016-09-05,212.0
2016-09-06,184.0
2016-09-07,58.0
2016-09-08,65.0
2016-09-09,80.0
2016-09-10,67.0
2016-09-11,121.0
2016-09-12,79.0
2016-09-13,82.0
2016-09-14,108.0
2016-09-15,115.0
2016-09-16,70.0
2016-09-17,60.0
2016-09-18,63.0
2016-09-19,103.0
2016-09-20,112.0
2016-09-21,71.0
2016-09-22,103.0
2016-09-23,70.0
2016-09-24,73.0
2016-09-25,125.0
2016-09-26,95.0
2016-09-27,119.0
2016-09-28,113.0
2016-09-29,473.0
2016-09-30,68.0
2016-10-01,126.0
2016-10-02,135.0
2016-10-03,101.0
2016-10-04,104.0
2016-10-05,95.0
2016-10-06,80.0
2016-10-07,134.0
2016-10-08,111.0
2016-10-09,91.0
2016-10-10,97.0
2016-10-11,88.0
2016-10-12,486.0
